Is Fraudulent,Transaction ID,Customer ID,IP Address,Shipping Address,Billing Address,Transaction Amount,Transaction Date,Payment Method,Product Category,Quantity,Customer Age,Device Used,Account Age Days,Transaction Hour,Customer Location
0,cc4082fe-39bb-4e8d-8540-39319325ce7c,012514f5-64ae-4cf5-9c9a-368da75647f8,155.47.141.11,"55682 Fleming Neck
Arthurtown, AK 26729","55682 Fleming Neck
Arthurtown, AK 26729",46.95,2024-01-07 18:01:33,credit card,home & garden,2,32,mobile,91,18,Howardview
0,502ac445-b77a-4507-a0bf-88eb28093e0b,95e8534a-9bf3-4455-ae62-dedfb94ae4b1,166.83.67.207,"144 Austin Fort Suite 045
Port Jessica, NJ 11134","144 Austin Fort Suite 045
Port Jessica, NJ 11134",60.84,2024-01-22 04:43:57,credit card,home & garden,2,39,mobile,64,4,East Crystalton
0,ad525e08-ffa6-4e66-a9f3-4e05d9e46818,f73a38c2-d8bb-40d7-ad41-0188d81c302c,48.244.125.178,"96510 Joseph Via
South Karenfort, WY 77392","96510 Joseph Via
South Karenfort, WY 77392",168.23,2024-03-30 03:31:30,bank transfer,electronics,1,32,desktop,132,3,North Jennifer
0,2d733b41-8ec8-4a6a-81d4-a4acf761634c,5dcbebfb-baa6-4ae5-9e7d-566737fc6287,120.154.98.137,"97078 Bird Squares
Erichaven, TN 52266","97078 Bird Squares
Erichaven, TN 52266",57.63,2024-03-12 12:48:48,debit card,electronics,4,48,desktop,135,12,Williamsstad
0,3dd5031d-7309-4f05-bc65-6785a4dcfb71,4e326b94-e49e-4cec-ad3a-7691351a5beb,143.216.151.248,"58867 White Ramp
East Nicolehaven, MD 64227","58867 White Ramp
East Nicolehaven, MD 64227",294.33,2024-03-23 04:03:06,PayPal,electronics,5,18,tablet,290,4,South Melissa
0,01310ba5-2bca-4517-864a-64d44d1e1d6e,9a6c9b80-da4d-4c04-992d-a70d2cf5c244,60.225.12.21,"165 John Wells
Lake Stephen, MN 39732","165 John Wells
Lake Stephen, MN 39732",157.11,2024-01-18 06:23:51,PayPal,toys & games,4,39,mobile,320,6,East Susan
0,68393264-9b37-464d-8b4c-5f67f91c81f6,7fae14b9-7487-4858-823f-c08d6ac9472e,208.11.167.7,"752 Jessica Centers
Allisonchester, NM 52363","752 Jessica Centers
Allisonchester, NM 52363",271.07,2024-03-16 03:35:30,credit card,clothing,3,33,tablet,198,3,New Nicholasmouth
1,97fabacb-2896-4cb7-b7bd-8891fcd0a92d,c0f68f7f-9467-448f-b829-469451a8a33e,184.159.192.36,"399 Alicia Valleys
Port Nicoleburgh, SD 17654","175 Brian Dale Suite 199
Hooverhaven, HI 62648",827.00,2024-03-05 10:56:52,bank transfer,health & beauty,5,29,tablet,21,10,Brianmouth
0,7ea3c326-3f8f-4b5b-b863-bde4705dfae9,24e1ed31-2ed7-4b57-a95e-8ef7828eb677,44.60.28.171,"136 Aaron Lodge Apt. 657
Lake Diana, VT 64171","136 Aaron Lodge Apt. 657
Lake Diana, VT 64171",23.19,2024-01-23 18:48:11,credit card,toys & games,4,34,desktop,13,18,Port Amandaburgh
0,cf4fa516-a031-4258-916a-38ad6dcbba37,0321baaa-90dc-4b5c-b274-5194ebabc30d,69.155.236.133,"USNS Davis
FPO AP 14296","USNS Davis
FPO AP 14296",201.43,2024-02-14 08:48:13,debit card,toys & games,2,44,tablet,136,8,Davidchester
0,96c928f9-95f3-44b6-8354-c0c94d24b98b,32f01d33-109f-4c46-a8b1-77bc412e8f44,49.254.55.188,"578 Diane Plains
Reginabury, OR 57137","598 Beltran Squares Apt. 934
Andrewfort, SC 21896",59.50,2024-03-28 14:21:32,PayPal,electronics,4,31,tablet,91,14,Port Scott
0,8c23dc7e-c304-42be-8a9a-cdb7fa61d54c,0ed8dc8a-3523-42a7-b7c6-09ce09724d01,90.122.112.27,"216 Jones Vista
West Michael, FL 64910","216 Jones Vista
West Michael, FL 64910",207.05,2024-03-25 13:17:32,PayPal,health & beauty,2,37,desktop,138,13,Port Andrea
0,a536af69-7508-4871-a9d0-0720f14e808d,b209c1f4-80f8-4fdf-8e71-c9a5a9f30826,81.103.146.192,"8586 Hansen Forks Apt. 869
Aprilshire, UT 81060","8586 Hansen Forks Apt. 869
Aprilshire, UT 81060",62.36,2024-02-01 16:35:17,bank transfer,health & beauty,4,17,tablet,67,16,Alvaradohaven
0,45bb50c9-d093-4a50-8545-d9a168371bf8,742ebbd1-d3ff-4428-b268-1f0120208fc8,103.207.2.46,"12251 Taylor Club Suite 859
Matthewland, NJ 59010","12251 Taylor Club Suite 859
Matthewland, NJ 59010",114.53,2024-03-10 15:19:17,debit card,health & beauty,1,29,mobile,73,15,Howellville
0,01fece4f-1aa3-4cd3-94a6-2351e2504b0e,8c81b9ff-7bb4-4d39-b507-1b2005f1013d,167.157.81.179,"65427 Jackie Forge Suite 922
Hendersonbury, KY 29487","65427 Jackie Forge Suite 922
Hendersonbury, KY 29487",12.04,2024-03-03 01:56:03,PayPal,toys & games,3,37,tablet,242,1,Emilyburgh
0,e7bbfd02-294a-4dfa-9cdc-5b20ab0781a5,36e19682-92fd-4b73-a673-90e257bad8c8,153.109.63.15,"349 Huff Springs Apt. 436
Jasonfurt, ME 22106","349 Huff Springs Apt. 436
Jasonfurt, ME 22106",552.78,2024-02-08 20:50:18,debit card,electronics,5,45,tablet,218,20,Andrewtown
0,9fdf5139-fd8d-4ae1-af7a-3dd808ec3c7c,85711445-27b0-4ea5-a86f-1df5bf947cd2,5.158.241.10,"00580 Estrada Gardens Apt. 932
Westberg, KS 13200","00580 Estrada Gardens Apt. 932
Westberg, KS 13200",418.73,2024-03-08 08:47:50,PayPal,home & garden,5,32,desktop,165,8,South Christianton
0,4c726f7c-f7d2-4914-b6d1-a1f5ebf9b467,cf2ec58c-5694-4c2a-8e13-5b44d1c3e3e7,1.21.250.111,"Unit 1151 Box 7744
DPO AA 22149","Unit 1151 Box 7744
DPO AA 22149",150.62,2024-02-18 21:28:32,credit card,toys & games,1,60,tablet,134,21,New Abigail
0,03ae444c-0ce4-4adc-be3d-327bb95ea82f,e7fec150-4be5-4e7e-be25-a5970a622ae7,88.5.82.200,"49388 Ryan Rapid Apt. 756
West Kristen, NM 97735","49388 Ryan Rapid Apt. 756
West Kristen, NM 97735",127.99,2024-02-19 20:28:13,PayPal,home & garden,4,42,tablet,156,20,Jeffreyborough
